,Hurricane Shelter,Special Needs,Pet Friendly,Island,Zip Code,Location 1,latitud,longitud
0,Kaala Elementary ,S ,No,OAHU,96786.0,"130 California Avenue
Wahiawa, HI
(21.493754065207895, -158.03519568464287)",21.493754065207895, -158.03519568464287
1,Hana High,No,No,MAUI,96713.0,"4111 Hana Highway
Hana, HI
(20.775600458710414, -156.00055153911396)",20.775600458710414, -156.00055153911396
2,Kohala Intermediate   ,S,No,HAWAII,96755.0,"534155 Akoni Pule Highway
Kapaau, HI
(20.226843149651813, -155.77848195041892)",20.226843149651813, -155.77848195041892
4,Honowai Elementary ,S ,No,OAHU,96797.0,"94-600 Honowai Street
Waipahu, HI
(21.384549391189978, -158.02570783723374)",21.384549391189978, -158.02570783723374
5,Pope Elementary ,S ,No,OAHU,96795.0,"41-133 Huli Street
Waimanalo, HI
(21.328174917875074, -157.6982046519148)",21.328174917875074, -157.6982046519148
6,Kailua High ,S,P ,OAHU,96734.0,"451 Ulumanu Drive
Kailua, HI
(21.383991811531814, -157.74976885898363)",21.383991811531814, -157.74976885898363
7,Aiea Elementary ,S ,No,OAHU,96701.0,"99-370 Moanalua Road
Aiea, HI
(21.3758169742855, -157.9292825292522)",21.3758169742855, -157.9292825292522
9,Koko Head Elementary ,S ,No,OAHU,96825.0,"189 Lunalilo Home Road
Honolulu, HI
(21.27582534414273, -157.70484127271905)",21.27582534414273, -157.70484127271905
10,Ewa Beach Elementary,No,No,OAHU,96706.0,"91-740 Papipi Road
Ewa Beach, HI
(21.315039114690403, -158.01443200998182)",21.315039114690403, -158.01443200998182
11,Kamalii Elementary  ,S,No,MAUI,96753.0,"180 Alanui Ke Alii
Kihei, HI
(20.722341796951866, -156.44166713901149)",20.722341796951866, -156.44166713901149
12,Kalama Intermediate  ,S,P ,MAUI,96768.0,"120 Makani Road
Makawao, HI
(20.84959667528119, -156.32122279510145)",20.84959667528119, -156.32122279510145
13,Molokai High ,S,No,MOLOKAI,96729.0,"2140 Farrington Ave
Hoolehua, HI
(21.162138060123823, -157.0476861371497)",21.162138060123823, -157.0476861371497
14,Red Hill Elementary ,S ,No,OAHU,96819.0,"1265 Ala Kula Place
Honolulu, HI
(21.368874208219324, -157.90006355652025)",21.368874208219324, -157.90006355652025
15,Kainalu Elementary,No,No,OAHU,96734.0,"165 Kaiholu Street
Kailua, HI
(21.414011180869863, -157.74812309967)",21.414011180869863, -157.74812309967
16,Kaiulani Elementary ,S ,No,OAHU,96817.0,"783 North King Street
Honolulu, HI
(21.321443964394007, -157.86694152618114)",21.321443964394007, -157.86694152618114
17,Moanalua High ,S,P ,OAHU,96818.0,"2825 Ala Ilima Street
Honolulu, HI
(21.345193217134415, -157.90125262682957)",21.345193217134415, -157.90125262682957
18,Pohakea Elementary,No,No,OAHU,96706.0,"91-750 Ft. Weaver Road
Ewa Beach, HI
(21.36943425935157, -158.0259645167424)",21.36943425935157, -158.0259645167424
19,Aiea Intermediate ,S ,No,OAHU,96701.0,"99-600 Kulawea Street
Aiea, HI
(21.37945013043422, -157.92532928785243)",21.37945013043422, -157.92532928785243
20,Lunalilo Elementary,No,No,OAHU,96826.0,"810 Pumehana Street
Honolulu, HI
(21.292233984882387, -157.83249749245894)",21.292233984882387, -157.83249749245894
21,Mauka Lani Elementary ,S ,No,OAHU,96707.0,"92-1300 Panana Street
Kapolei, HI
(21.358001404885044, -158.082805792874)",21.358001404885044, -158.082805792874
22,Maui High  ,S,P ,MAUI,96732.0,"660 S. Lono Avenue
Kahului, HI
(20.87397237062499, -156.4713453006978)",20.87397237062499, -156.4713453006978
23,Niu Valley Middle ,S ,No,OAHU,96821.0,"310 Halemaumau Street
Honolulu, HI
(21.285462090001715, -157.73905793361467)",21.285462090001715, -157.73905793361467
24,Hahaione Elementary ,S ,No,OAHU,96825.0,"595 Pepeekeo Street
Honolulu, HI
(21.296379859437423, -157.71082821511493)",21.296379859437423, -157.71082821511493
25,Mililani Mauka Elementary,No,No,OAHU,96789.0,"95-1111 Makaikai Street
Mililani, HI
(21.47154980430446, -158.00130923057884)",21.47154980430446, -158.00130923057884
